stop_name,display_name,constituent_station_names,station_ids,complex_id,gtfs_stop_ids
Broadway-Lafayette St/Bleecker St,Broadway-Lafayette St/Bleecker St (6 B D F M),Bleecker St; Broadway-Lafayette St,230; 408,619,637; D21
Borough Hall/Court St,Borough Hall/Court St (2 3 4 5 R),Borough Hall; Court St,24; 335; 415,620,232; 423; R28
Broadway Junction,Broadway Junction (A C J Z L),Broadway Junction,92; 132; 184,621,A51; J27; L22
Brooklyn Bridge-City Hall/Chambers St,Brooklyn Bridge-City Hall/Chambers St (4 5 6 J Z),Brooklyn Bridge-City Hall; Chambers St,105; 411,622,640; M21
Canal St,Canal St (6 J Z N Q R W),Canal St,18; 19; 104; 410,623,639; M20; Q01; R23
Chambers St/WTC/Park Place/Cortlandt St,Chambers St/WTC/Park Place/Cortlandt St (2 3 A C E R W),Chambers St; Cortlandt St; Park Place; World Trade Center,21; 170; 171; 331,624,228; A36; E01; R25
Delancey St-Essex St,Delancey St-Essex St (F M J Z),Delancey St-Essex St,102; 233,625,F15; M18
Franklin Av-Medgar Evers College/Botanic Garden,Franklin Av-Medgar Evers College/Botanic Garden (2 3 4 5 S),Botanic Garden; Franklin Av-Medgar Evers College,142; 342,626,239; S04
Franklin Av,Franklin Av (C S),Franklin Av,139; 178,627,A45; S01
Fulton St,Fulton St (2 3 4 5 A C J Z),Fulton St,106; 172; 332; 412,628,229; 418; A38; M22
Metropolitan Av/Lorimer St,Metropolitan Av/Lorimer St (G L),Lorimer St; Metropolitan Av,121; 285,629,G29; L10
Myrtle-Wyckoff Avs,Myrtle-Wyckoff Avs (M L),Myrtle-Wyckoff Avs,112; 128,630,L17; M08
Whitehall St-South Ferry,Whitehall St-South Ferry (1 R W),South Ferry; Whitehall St-South Ferry,23; 330,635,142; R27
Jay St-MetroTech,Jay St-MetroTech (A C F R),Jay St-MetroTech,25; 174,636,A41; R29
