stop_name,display_name,constituent_station_names,station_ids,complex_id,gtfs_stop_ids
Kingston Av,Kingston Av (3),Kingston Av,344,344,249
Crown Hts-Utica Av,Crown Hts-Utica Av (3 4),Crown Hts-Utica Av,345,345,250
Sutter Av-Rutland Rd,Sutter Av-Rutland Rd (3),Sutter Av-Rutland Rd,346,346,251
Saratoga Av,Saratoga Av (3),Saratoga Av,347,347,252
Rockaway Av,Rockaway Av (3),Rockaway Av,348,348,253
Junius St,Junius St (3),Junius St,349,349,254
Pennsylvania Av,Pennsylvania Av (3),Pennsylvania Av,350,350,255
Van Siclen Av,Van Siclen Av (3),Van Siclen Av,351,351,256
New Lots Av,New Lots Av (3),New Lots Av,352,352,257
President St-Medgar Evers College,President St-Medgar Evers College (2 5),President St-Medgar Evers College,353,353,241
Sterling St,Sterling St (2 5),Sterling St,354,354,242
Winthrop St,Winthrop St (2 5),Winthrop St,355,355,243
Church Av,Church Av (2 5),Church Av,356,356,244
Beverly Rd,Beverly Rd (2 5),Beverly Rd,357,357,245
Newkirk Av-Little Haiti,Newkirk Av-Little Haiti (2 5),Newkirk Av-Little Haiti,358,358,246
Flatbush Av-Brooklyn College,Flatbush Av-Brooklyn College (2 5),Flatbush Av-Brooklyn College,359,359,247
Pelham Bay Park,Pelham Bay Park (6),Pelham Bay Park,360,360,601
Buhre Av,Buhre Av (6),Buhre Av,361,361,602
Middletown Rd,Middletown Rd (6),Middletown Rd,362,362,603
Westchester Sq-E Tremont Av,Westchester Sq-E Tremont Av (6),Westchester Sq-E Tremont Av,363,363,604
Zerega Av,Zerega Av (6),Zerega Av,364,364,606
Castle Hill Av,Castle Hill Av (6),Castle Hill Av,365,365,607
Parkchester,Parkchester (6),Parkchester,366,366,608
St Lawrence Av,St Lawrence Av (6),St Lawrence Av,367,367,609
Morrison Av-Soundview,Morrison Av-Soundview (6),Morrison Av-Soundview,368,368,610
Elder Av,Elder Av (6),Elder Av,369,369,611
Whitlock Av,Whitlock Av (6),Whitlock Av,370,370,612
Hunts Point Av,Hunts Point Av (6),Hunts Point Av,371,371,613
Longwood Av,Longwood Av (6),Longwood Av,372,372,614
E 149 St,E 149 St (6),E 149 St,373,373,615
E 143 St-St Mary's St,E 143 St-St Mary's St (6),E 143 St-St Mary's St,374,374,616
Cypress Av,Cypress Av (6),Cypress Av,375,375,617
Brook Av,Brook Av (6),Brook Av,376,376,618
3 Av-138 St,3 Av-138 St (6),3 Av-138 St,377,377,619
Woodlawn,Woodlawn (4),Woodlawn,378,378,401
Mosholu Pkwy,Mosholu Pkwy (4),Mosholu Pkwy,379,379,402
Bedford Park Blvd-Lehman College,Bedford Park Blvd-Lehman College (4),Bedford Park Blvd-Lehman College,380,380,405
Kingsbridge Rd,Kingsbridge Rd (4),Kingsbridge Rd,381,381,406
Fordham Rd,Fordham Rd (4),Fordham Rd,382,382,407
183 St,183 St (4),183 St,383,383,408
Burnside Av,Burnside Av (4),Burnside Av,384,384,409
176 St,176 St (4),176 St,385,385,410
Mt Eden Av,Mt Eden Av (4),Mt Eden Av,386,386,411
170 St,170 St (4),170 St,387,387,412
167 St,167 St (4),167 St,388,388,413
138 St-Grand Concourse,138 St-Grand Concourse (4 5),138 St-Grand Concourse,391,391,416
125 St,125 St (4 5 6),125 St,392,392,621
116 St,116 St (6),116 St,393,393,622
110 St,110 St (6),110 St,394,394,623
103 St,103 St (6),103 St,395,395,624
96 St,96 St (6),96 St,396,396,625
86 St,86 St (4 5 6),86 St,397,397,626
77 St,77 St (6),77 St,398,398,627
68 St-Hunter College,68 St-Hunter College (6),68 St-Hunter College,399,399,628
33 St,33 St (6),33 St,403,403,632
28 St,28 St (6),28 St,404,404,633
23 St,23 St (6),23 St,405,405,634
Astor Pl,Astor Pl (6),Astor Pl,407,407,636
Spring St,Spring St (6),Spring St,409,409,638
Wall St,Wall St (4 5),Wall St,413,413,419
Bowling Green,Bowling Green (4 5),Bowling Green,414,414,420
Wakefield-241 St,Wakefield-241 St (2),Wakefield-241 St,416,416,201
Nereid Av,Nereid Av (2 5),Nereid Av,417,417,204
233 St,233 St (2 5),233 St,418,418,205
225 St,225 St (2 5),225 St,419,419,206
219 St,219 St (2 5),219 St,420,420,207
Gun Hill Rd,Gun Hill Rd (2 5),Gun Hill Rd,421,421,208
Burke Av,Burke Av (2 5),Burke Av,422,422,209
Allerton Av,Allerton Av (2 5),Allerton Av,423,423,210
Pelham Pkwy,Pelham Pkwy (2 5),Pelham Pkwy,424,424,211
Bronx Park East,Bronx Park East (2 5),Bronx Park East,425,425,212
